Name,Description
Tracing instrumentation,"Covers telemetry, dashboards, and alerts, with emphasis on instrumentation so teams can spot regressions and incidents early."
Tracing setup,"Covers telemetry, dashboards, and alerts, with emphasis on setup so teams can spot regressions and incidents early."
Tracing tutorial workflow,"Covers telemetry, dashboards, and alerts, with emphasis on tutorial and workflow so teams can spot regressions and incidents early."
Training efficiency tuning,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Training loop enhancements,"Guides training loops, tuning steps, and optimization choices, with emphasis on loop and enhancements so updates stay efficient and aligned."
Training loop optimization,"Guides training loops, tuning steps, and optimization choices, with emphasis on loop so updates stay efficient and aligned."
Training pipeline automation,"Guides training loops, tuning steps, and optimization choices, with emphasis on pipeline and automation so updates stay efficient and aligned."
Transformer internals,"Explores model internals, architecture choices, and foundational concepts so teams understand behavior and trade-offs."
Transformers + TRL integration,"Shows how services, tools, and external systems interoperate, with emphasis on transformers and trl to fulfill multi-step requests."
Transformers pipelines inference,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on transformers and pipelines feed evaluation, training, and serving."
Upgrade planning,Highlights best practices around upgrade and planning so the broader work stays reliable.
Upstream contribution workflow,"Outlines the steps and decision points that drive complex sequences, with emphasis on upstream and contribution."
Vector database integration,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on vector and database feed evaluation, training, and serving."
Vector database search integration,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on vector and database feed evaluation, training, and serving."
Vector DB querying (OpenSearch),"Describes how to configure OpenSearch services and tooling, with emphasis on vector and db so teams can run secure and repeatable LLM workloads on that platform."
Vector store setup (OpenSearch),"Describes how to configure OpenSearch services and tooling, with emphasis on vector and store so teams can run secure and repeatable LLM workloads on that platform."
Verify environment,Highlights best practices around verify and environment so the broader work stays reliable.
Vertex AI integration,"Describes how to configure Vertex AI services and tooling, with emphasis on integration so teams can run secure and repeatable LLM workloads on that platform."
Vertex AI model evaluation,"Describes how to configure Vertex AI services and tooling, with emphasis on model and evaluation so teams can run secure and repeatable LLM workloads on that platform."
Vertex AI model monitoring,"Describes how to configure Vertex AI services and tooling, with emphasis on model and monitoring so teams can run secure and repeatable LLM workloads on that platform."
Vertex AI Model Registry usage,"Describes how to configure Vertex AI services and tooling, with emphasis on model and registry so teams can run secure and repeatable LLM workloads on that platform."
Vertex AI Pipelines orchestration,"Describes how to configure Vertex AI services and tooling, with emphasis on pipelines and orchestration so teams can run secure and repeatable LLM workloads on that platform."
vLLM installation & setup,"Describes how to configure vLLM services and tooling, with emphasis on installation and setup so teams can run secure and repeatable LLM workloads on that platform."
watsonx LLMOps workflow framing,"Describes how to configure watsonx services and tooling, with emphasis on LLMOps and workflow so teams can run secure and repeatable LLM workloads on that platform."
Workflow automation,"Outlines the steps and decision points that drive complex sequences, with emphasis on automation."
Workflow composition,"Outlines the steps and decision points that drive complex sequences, with emphasis on composition."
